"To ask the Minister for the Cabinet Office, how many and what proportion of people have received fixed penalty notices for failing to register on the electoral register in each local authority area since June 2014."
"To ask Mr Chancellor of the Exchequer, what assessment has been made of whether the local housing allowance rates are keeping pace with increasing rents in the private sector."
"To ask the Secretary of State for Communities and Local Government, what steps he has taken to ensure that ground rent rates associated with new build properties designated for low-cost housing and sold on a leasehold basis are proportionate."
"To ask the Secretary of State for Defence, whether his Department has received information obtained by the US Administration by means of provisions within the USA Patriot Act of 2001; and if he will make a statement."
"To ask the Secretary of State for Education, what guidance her Department has provided to schools on the obligation to report criminal behaviour by pupils (a) in general and (b) under the age of criminal responsibility whilst on school premises."
"To ask the Secretary of State for Education, what guidance her Department has made available to schools on reporting criminal behaviour committed by pupils outside of school hours and off-site."
"To ask the Secretary of State for Foreign and Commonwealth Affairs, whether his Department has received information obtained by the US Administration through provisions within the USA Patriot Act of 2001; and if he will make a statement."
"To ask the Secretary of State for Foreign and Commonwealth Affairs, what estimate he has made of how many Syrians have been disappeared by the Assad regime; and what proportion of those people are children."
"To ask the Secretary of State for Foreign and Commonwealth Affairs, if he will request a UN investigation into the 1988 executions of political prisoners in Iran."
"To ask the Secretary of State for Health, what progress the Government has made on implementation of the recommendations of the working group on autism on the time taken to diagnose autism."
"To ask the Secretary of State for Health, what assessment he has made of the implications for his policies of the findings of the report from the Kings Fund entitled NHS hospital bed numbers: past, present, future, published in September 2017."
"To ask the Secretary of State for Health, what representations he has received from (a) RNIB and (b) other bodies on the time taken for access to treatment for eye care; and what steps he is taking to minimise the risk for patients experiencing irreversible sight loss due to delayed and cancelled appointments."
"To ask the Secretary of State for Health, what assessment he has made of the effect of the advertising ban on the use of e-cigarettes."
"To ask the Secretary of State for the Home Department, if she will make trespass a criminal offence."
"To ask the Secretary of State for the Home Department, how many people subject to immigration control with dependents had the no recourse to public funds condition lifted in (a) 2015-16 and (b) 2016-17."
"To ask the Secretary of State for the Home Department, whether British passports renewed between now and March 2019 will need to be renewed once the UK leaves the EU."
